business_id,name,latitude,longitude,stars,Alcohol,GoodForKids,RestaurantsAttire,RestaurantsDelivery,RestaurantsReservations,Ambience.casual,Ambience.classy,Suggestions
B_hU-QEkt5G98pYGdfIrsg,Nobu Tei,41.396544,-81.465911,3.5,0,1,0,0,1,1,0,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should at least provide some alcoholic beverage offered in common bars. If condtion permits, provide beer and wine are better. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
lpxj6LFir23Ds6swW8a6fg,Grandview Saloon,40.4381076,-80.0185368,3.0,2,1,0,0,1,0,0,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
2vzUzl31fFLHKhM6px-rbg,Mariner's Inn,43.1489218,-89.4070057,3.5,2,0,0,0,1,0,0,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
J4fxdRNWmqckOHTPJocWEw,ML Tavern,41.4547126,-81.4437063,4.0,2,0,1,0,1,0,1,"Excellent Steakhouse! Some suggestions that will make your business better: 
You should only provide beer and wine. 
Try to make the atmosphere more casual. 
"
qELIf4gzE_vlteu7pO7TZg,Atria's Restaurant,40.4470921252,-80.00404638100001,3.0,2,1,0,0,1,1,0,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
szGbmw_vq3kVU4SfK1x6Sw,Ruths Chris Steak House,40.439454,-80.003658,4.0,2,0,1,0,1,0,1,"Excellent Steakhouse! Some suggestions that will make your business better: 
You should only provide beer and wine. 
Try to make the atmosphere more casual. 
"
CNklj3fFmwXL13AyvjfV5w,Ann's Chophouse,40.327443,-80.034616,3.5,2,1,0,0,1,0,0,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
d6VYQbeTZ_WdD8Uuhh35dg,Tempest Oyster Bar,43.073930018599995,-89.3796241524,4.0,2,0,1,0,1,0,1,"Excellent Steakhouse! Some suggestions that will make your business better: 
You should only provide beer and wine. 
Try to make the atmosphere more casual. 
"
K8iNH0OEhS7vZLVyuO1v4A,Wasabi Japanese Steak House,41.130511299999995,-81.6543561,3.5,2,1,0,0,1,1,0,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
HOgLMfPB11zz7BsYkFSz0g,Baba's Supper Club,43.1832054,-89.21409659999999,2.0,2,1,0,0,1,0,0,"Not a satisfied Steakhouse! Some suggestions that make you a good steakhouse: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
vv769u0PvdQhO5IIBFAcwg,Saga Hibachi Steakhouse & Sushi Bar,40.3418115205,-80.0552053647,3.0,2,1,0,0,1,0,0,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
ZspvlO5Dvtd517YhVLJJ_A,Tomo Sushi & Hibachi,41.499484,-81.70045390000001,3.0,2,0,0,1,1,0,0,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You waiters should dress more formally. Avoid casual attires. 
Distract your focus on developing delivery service. It's not worthy to invest much on delivery. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
gWmrOXOmciuTnNi4P0wWDQ,Hyde Park Prime Steakhouse,41.1367374795,-81.6465704509,4.0,2,0,1,0,1,0,1,"Excellent Steakhouse! Some suggestions that will make your business better: 
You should only provide beer and wine. 
Try to make the atmosphere more casual. 
"
Nz0MchMpTVYmJbijeBSVew,Outback Steakhouse,41.117833700000006,-81.47342590000001,3.0,2,1,0,1,1,1,1,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
Distract your focus on developing delivery service. It's not worthy to invest much on delivery. 
"
VGxJbglGlx-a7Gdc55Q6jQ,Katana,40.389900899999994,-80.04066170000002,3.0,2,1,0,1,1,1,0,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
Distract your focus on developing delivery service. It's not worthy to invest much on delivery. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
1MrJJ9tyNyfFrxaNZ67xFg,Silk Road Gourmet Chinese,40.3591070736,-80.00208978180001,4.0,2,1,0,1,1,0,0,"Excellent Steakhouse! Some suggestions that will make your business better: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
Distract your focus on developing delivery service. It's not worthy to invest much on delivery. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
795wIi2-x9RfndhVo0byaA,Steel City Steak House,40.3981061,-79.7690515,2.5,2,1,0,0,1,1,0,"Not a satisfied Steakhouse! Some suggestions that make you a good steakhouse: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
DMRaPL6SnA_RX7yY6rprhQ,Steak On a Stone,41.1312495,-81.65343859999999,2.5,2,0,0,0,1,0,0,"Not a satisfied Steakhouse! Some suggestions that make you a good steakhouse: 
You should only provide beer and wine. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
zLnmmB9jiKg-A2Lggs64-A,CK's Steak House,41.670903499999994,-81.24172159999999,3.0,2,0,0,0,1,0,1,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
"
7ddnq3YQSKguGK15etqGLQ,Ditka's Restaurant - Wexford,40.642662,-80.067024,3.0,2,0,0,0,1,0,1,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
"
eF2jf-E5ktRQIh_4_-Jxsg,Cannon's Chop House,40.2750230347,-80.1665849354,3.5,2,1,0,0,1,1,1,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
"
dh1S06LtJqMRRpGcePn5Cg,Zach's Place,41.3714222,-81.8685955,3.0,2,1,0,0,1,0,0,"Already a good Steakhouse! Several suggestions that will improve your star ratings: 
You should only provide beer and wine. 
You do not need to make great efforts to attract young customers. 
You waiters should dress more formally. Avoid casual attires. 
Try to make the atmosphere more casual. 
You should create a classier ambience. This will leave an elegant impression on your customers. "
